"Pegelkennziffer","Pegelname","Datum","Wasserstand","Durchfluss","Flussgebiet"
"551208","Friedrichstadt","05.05.1999","","0,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","06.05.1999","","1,11","Nebenflüsse der Elbe"
"551208","Friedrichstadt","07.05.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","08.05.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","09.05.1999","","1,60","Nebenflüsse der Elbe"
"551208","Friedrichstadt","10.05.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","11.05.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","12.05.1999","","1,51","Nebenflüsse der Elbe"
"551208","Friedrichstadt","13.05.1999","","1,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","14.05.1999","","1,34","Nebenflüsse der Elbe"
"551208","Friedrichstadt","15.05.1999","","1,88","Nebenflüsse der Elbe"
"551208","Friedrichstadt","16.05.1999","","1,42","Nebenflüsse der Elbe"
"551208","Friedrichstadt","17.05.1999","","1,34","Nebenflüsse der Elbe"
"551208","Friedrichstadt","18.05.1999","","1,51","Nebenflüsse der Elbe"
"551208","Friedrichstadt","19.05.1999","","1,42","Nebenflüsse der Elbe"
"551208","Friedrichstadt","20.05.1999","","1,42","Nebenflüsse der Elbe"
"551208","Friedrichstadt","21.05.1999","","1,69","Nebenflüsse der Elbe"
"551208","Friedrichstadt","22.05.1999","","2,08","Nebenflüsse der Elbe"
"551208","Friedrichstadt","23.05.1999","","1,69","Nebenflüsse der Elbe"
"551208","Friedrichstadt","24.05.1999","","1,51","Nebenflüsse der Elbe"
"551208","Friedrichstadt","25.05.1999","","1,34","Nebenflüsse der Elbe"
"551208","Friedrichstadt","26.05.1999","","1,26","Nebenflüsse der Elbe"
"551208","Friedrichstadt","27.05.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","28.05.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","29.05.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","30.05.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","31.05.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","01.06.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","02.06.1999","","1,11","Nebenflüsse der Elbe"
"551208","Friedrichstadt","03.06.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","04.06.1999","","0,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","05.06.1999","","0,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","06.06.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","07.06.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","08.06.1999","","0,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","09.06.1999","","0,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","10.06.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","11.06.1999","","0,79","Nebenflüsse der Elbe"
"551208","Friedrichstadt","12.06.1999","","0,63","Nebenflüsse der Elbe"
"551208","Friedrichstadt","13.06.1999","","0,63","Nebenflüsse der Elbe"
"551208","Friedrichstadt","14.06.1999","","0,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","15.06.1999","","0,54","Nebenflüsse der Elbe"
"551208","Friedrichstadt","16.06.1999","","0,49","Nebenflüsse der Elbe"
"551208","Friedrichstadt","17.06.1999","","0,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","18.06.1999","","1,51","Nebenflüsse der Elbe"
"551208","Friedrichstadt","19.06.1999","","4,88","Nebenflüsse der Elbe"
"551208","Friedrichstadt","20.06.1999","","4,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","21.06.1999","","3,03","Nebenflüsse der Elbe"
"551208","Friedrichstadt","22.06.1999","","2,08","Nebenflüsse der Elbe"
"551208","Friedrichstadt","23.06.1999","","1,51","Nebenflüsse der Elbe"
"551208","Friedrichstadt","24.06.1999","","1,51","Nebenflüsse der Elbe"
"551208","Friedrichstadt","25.06.1999","","1,42","Nebenflüsse der Elbe"
"551208","Friedrichstadt","26.06.1999","","1,34","Nebenflüsse der Elbe"
"551208","Friedrichstadt","27.06.1999","","1,34","Nebenflüsse der Elbe"
"551208","Friedrichstadt","28.06.1999","","1,88","Nebenflüsse der Elbe"
"551208","Friedrichstadt","29.06.1999","","1,51","Nebenflüsse der Elbe"
"551208","Friedrichstadt","30.06.1999","","1,42","Nebenflüsse der Elbe"
"551208","Friedrichstadt","01.07.1999","","1,42","Nebenflüsse der Elbe"
"551208","Friedrichstadt","02.07.1999","","1,34","Nebenflüsse der Elbe"
"551208","Friedrichstadt","03.07.1999","","1,26","Nebenflüsse der Elbe"
"551208","Friedrichstadt","04.07.1999","","1,51","Nebenflüsse der Elbe"
"551208","Friedrichstadt","05.07.1999","","1,42","Nebenflüsse der Elbe"
"551208","Friedrichstadt","06.07.1999","","2,08","Nebenflüsse der Elbe"
"551208","Friedrichstadt","07.07.1999","","8,95","Nebenflüsse der Elbe"
"551208","Friedrichstadt","08.07.1999","","5,82","Nebenflüsse der Elbe"
"551208","Friedrichstadt","09.07.1999","","3,88","Nebenflüsse der Elbe"
"551208","Friedrichstadt","10.07.1999","","3,73","Nebenflüsse der Elbe"
"551208","Friedrichstadt","11.07.1999","","2,30","Nebenflüsse der Elbe"
"551208","Friedrichstadt","12.07.1999","","2,30","Nebenflüsse der Elbe"
"551208","Friedrichstadt","13.07.1999","","2,08","Nebenflüsse der Elbe"
"551208","Friedrichstadt","14.07.1999","","4,53","Nebenflüsse der Elbe"
"551208","Friedrichstadt","15.07.1999","","6,86","Nebenflüsse der Elbe"
"551208","Friedrichstadt","16.07.1999","","4,20","Nebenflüsse der Elbe"
"551208","Friedrichstadt","17.07.1999","","3,03","Nebenflüsse der Elbe"
"551208","Friedrichstadt","18.07.1999","","2,65","Nebenflüsse der Elbe"
"551208","Friedrichstadt","19.07.1999","","2,30","Nebenflüsse der Elbe"
"551208","Friedrichstadt","20.07.1999","","2,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","21.07.1999","","2,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","22.07.1999","","2,53","Nebenflüsse der Elbe"
"551208","Friedrichstadt","23.07.1999","","2,41","Nebenflüsse der Elbe"
"551208","Friedrichstadt","24.07.1999","","1,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","25.07.1999","","1,88","Nebenflüsse der Elbe"
"551208","Friedrichstadt","26.07.1999","","1,78","Nebenflüsse der Elbe"
"551208","Friedrichstadt","27.07.1999","","1,78","Nebenflüsse der Elbe"
"551208","Friedrichstadt","28.07.1999","","1,51","Nebenflüsse der Elbe"
"551208","Friedrichstadt","29.07.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","30.07.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","31.07.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","01.08.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","02.08.1999","","1,11","Nebenflüsse der Elbe"
"551208","Friedrichstadt","03.08.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","04.08.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","05.08.1999","","0,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","06.08.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","07.08.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","08.08.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","09.08.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","10.08.1999","","1,42","Nebenflüsse der Elbe"
"551208","Friedrichstadt","11.08.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","12.08.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","13.08.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","14.08.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","15.08.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","16.08.1999","","0,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","17.08.1999","","0,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","18.08.1999","","0,85","Nebenflüsse der Elbe"
"551208","Friedrichstadt","19.08.1999","","0,74","Nebenflüsse der Elbe"
"551208","Friedrichstadt","20.08.1999","","0,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","21.08.1999","","0,68","Nebenflüsse der Elbe"
"551208","Friedrichstadt","22.08.1999","","0,63","Nebenflüsse der Elbe"
"551208","Friedrichstadt","23.08.1999","","0,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","24.08.1999","","0,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","25.08.1999","","0,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","26.08.1999","","0,63","Nebenflüsse der Elbe"
"551208","Friedrichstadt","27.08.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","28.08.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","29.08.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","30.08.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","31.08.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","01.09.1999","","0,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","02.09.1999","","0,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","03.09.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","04.09.1999","","0,91","Nebenflüsse der Elbe"
